-146.5,68, DENSITY ,1146,1.16, NAMERICA
-146.5,68.5, DENSITY ,1120,1.47, NAMERICA
-146.5,69, DENSITY ,1095,1.47, NAMERICA
-146.5,69.5, DENSITY ,1070,1.47, NAMERICA
-146,65, DENSITY ,1294,1.21, NAMERICA
-146,65.5, DENSITY ,1270,1.13, NAMERICA
-146,66, DENSITY ,1245,1.2, NAMERICA
-146,66.5, DENSITY ,1220,1.2, NAMERICA
-146,67, DENSITY ,1195,1.2, NAMERICA
-146,67.5, DENSITY ,1171,1.2, NAMERICA
-146,68, DENSITY ,1146,1.16, NAMERICA
-146,68.5, DENSITY ,1120,1.16, NAMERICA
-146,69, DENSITY ,1095,1.47, NAMERICA
-146,69.5, DENSITY ,1070,1.47, NAMERICA
-145.5,65, DENSITY ,1294,1.21, NAMERICA
-145.5,65.5, DENSITY ,1270,1.13, NAMERICA
-145.5,66, DENSITY ,1245,1.2, NAMERICA
-145.5,66.5, DENSITY ,1220,1.2, NAMERICA
-145.5,67, DENSITY ,1195,1.2, NAMERICA
-145.5,67.5, DENSITY ,1171,1.2, NAMERICA
-145.5,68, DENSITY ,1146,1.16, NAMERICA
-145.5,68.5, DENSITY ,1120,1.16, NAMERICA
-145.5,69, DENSITY ,1095,1.47, NAMERICA
-145.5,69.5, DENSITY ,1070,1.47, NAMERICA
-145,65, DENSITY ,1294,1.47, NAMERICA
-145,65.5, DENSITY ,1270,1.13, NAMERICA
-145,66, DENSITY ,1245,1.1900001, NAMERICA
-145,66.5, DENSITY ,1220,1.1900001, NAMERICA
-145,67, DENSITY ,1195,1.2, NAMERICA
-145,67.5, DENSITY ,1171,1.2, NAMERICA
-145,68, DENSITY ,1146,1.16, NAMERICA
-145,68.5, DENSITY ,1120,1.16, NAMERICA
-145,69, DENSITY ,1095,1.47, NAMERICA
-145,69.5, DENSITY ,1070,1.47, NAMERICA
-144.5,65, DENSITY ,1294,1.47, NAMERICA
-144.5,65.5, DENSITY ,1270,1.13, NAMERICA
-144.5,66, DENSITY ,1245,1.1900001, NAMERICA
-144.5,66.5, DENSITY ,1220,1.1900001, NAMERICA
-144.5,67, DENSITY ,1195,1.2, NAMERICA
-144.5,67.5, DENSITY ,1171,1.2, NAMERICA
-144.5,68, DENSITY ,1146,1.16, NAMERICA
-144.5,68.5, DENSITY ,1120,1.16, NAMERICA
-144.5,69, DENSITY ,1095,1.47, NAMERICA
