-144,69.5, ELEV ,1070,173, NAMERICA 
-143.5,65, ELEV ,1294,708, NAMERICA 
-143.5,65.5, ELEV ,1270,383, NAMERICA 
-143.5,66, ELEV ,1245,169, NAMERICA 
-143.5,66.5, ELEV ,1220,203, NAMERICA 
-143.5,67, ELEV ,1195,373, NAMERICA 
-143.5,67.5, ELEV ,1171,664, NAMERICA 
-143.5,68, ELEV ,1146,830, NAMERICA 
-143.5,68.5, ELEV ,1120,1080, NAMERICA 
-143.5,69, ELEV ,1095,1270, NAMERICA 
-143.5,69.5, ELEV ,1070,169, NAMERICA 
-143,65, ELEV ,1294,566, NAMERICA 
-143,65.5, ELEV ,1270,532, NAMERICA 
-143,66, ELEV ,1245,284, NAMERICA 
-143,66.5, ELEV ,1220,332, NAMERICA 
-143,67, ELEV ,1195,437, NAMERICA 
-143,67.5, ELEV ,1171,454, NAMERICA 
-143,68, ELEV ,1146,782, NAMERICA 
-143,68.5, ELEV ,1120,1087, NAMERICA 
-143,69, ELEV ,1095,1168, NAMERICA 
-143,69.5, ELEV ,1070,139, NAMERICA 
-142.5,65, ELEV ,1294,545, NAMERICA 
-142.5,65.5, ELEV ,1270,572, NAMERICA 
-142.5,66, ELEV ,1245,342, NAMERICA 
-142.5,66.5, ELEV ,1220,349, NAMERICA 
-142.5,67, ELEV ,1195,417, NAMERICA 
-142.5,67.5, ELEV ,1171,562, NAMERICA 
-142.5,68, ELEV ,1146,711, NAMERICA 
-142.5,68.5, ELEV ,1120,1046, NAMERICA 
